openalex_id,doi,title,publication_date,authors,cited_by_count,abstract
https://openalex.org/W4410381484,https://doi.org/10.1111/jofi.13459,ANNOUNCEMENTS,2025-05-13,,0,
https://openalex.org/W4410381493,https://doi.org/10.1111/jofi.v80.3,,2025-05-14,,0,
https://openalex.org/W3033309119,https://doi.org/10.1111/jofi.13464,Interlocking Directorates and Competition in Banking,2025-05-27,Guglielmo Barone; Fabiano Schivardi; Enrico Sette,12,"ABSTRACT We study the effects on corporate loan rates of an unexpected change in the Italian legislation that forbade interlocking directorates between banks. Exploiting multiple firm‐bank relationships to fully account for all unobserved heterogeneity, we find that prohibiting interlocks decreased the interest rates of previously interlocked banks by 14 basis points relative to other banks. The effect is stronger for high‐quality firms and for loans extended by interlocked banks with a large joint market share. Interest rates on loans from previously interlocked banks become more dispersed. Finally, firms borrowing more from previously interlocked banks expand investment, employment, and sales."
https://openalex.org/W4410830326,https://doi.org/10.1111/jofi.13465,The Value of Bank Lending,2025-05-28,Thomas Flanagan,1,"ABSTRACT Using a novel data set of realized syndicated loan cash flows and a risk‐adjustment methodology adapted from the private equity literature, I provide a measure of risk‐adjusted returns for bank loan cash flows. Banks, on average, generate 180 basis points in gross risk‐adjusted returns and add $75 million of value annually to their loan portfolios. Banks earn higher returns when they lend to financially constrained borrowers, and the risk‐adjusted performance of bank loan portfolios exhibits persistence. However, banks require higher risk‐adjusted returns when facing their own financing frictions, and shareholders earn nearly zero net risk‐adjusted returns once bank staff are compensated for their lending effort. Overall, these findings suggest that banks provide valuable services to mitigate borrowers' financing frictions, and the present value of loan cash flows pays for the costs of providing these services."
https://openalex.org/W4410831677,https://doi.org/10.1111/jofi.13463,The Term Structure of Interest Rates in a Heterogeneous Monetary Union,2025-05-28,James Costain; Galo Nuño; Carlos Thomas,0,"ABSTRACT We build an arbitrage‐based model of the yield curves in a heterogeneous monetary union with sovereign default risk, which accounts for the asymmetric shifts in euro‐area yields during the Covid‐19 pandemic. We derive an affine term structure solution, and decompose yields into expectations, term premium, expected default loss, and credit risk premium components. In an extension, we endogenize the peripheral default probability, showing that it decreases with central bank bond holdings. Calibrating the model to Germany and Italy, we show that both the level and the shifts in the sovereign spread are mainly attributable to the credit risk premium."
https://openalex.org/W3121175415,https://doi.org/10.1111/jofi.13462,What Is the Cost of Privatization for Workers?,2025-05-30,Martin Olsson; Joacim Tå̊g,6,"ABSTRACT Privatization of state‐owned enterprises is on the agenda across the globe. Using Swedish data covering two decades, we show that productivity gains and headcount reductions are associated with economic costs for incumbent workers. Workers experience income losses and higher unemployment, but half of the losses are covered by the social safety net. We also find small positive effects on entrepreneurship and cash holdings but no meaningful effects on other labor market, family, health, or household finance outcomes. Productivity improves when the CEO is replaced, and the gains outweigh workers' income declines by a factor of between two and six."
https://openalex.org/W4410874583,https://doi.org/10.1111/jofi.13461,Regulating Over‐the‐Counter Markets,2025-05-30,Tomy Lee; Chaojun Wang,0,"ABSTRACT Over‐the‐counter (OTC) trading thrives despite competition from exchanges. We let OTC dealers cream skim from exchanges in an otherwise standard Glosten and Milgrom framework. Restricting the dealer's ability to cream skim induces “cheap substitution”: some traders exit while others with larger gains from trade enter. Cheap substitution implies trading costs, trade volumes, and market shares are poor policy indicators. In a benchmark case, restricting the dealer raises welfare only if trading cost increases, volume falls, and OTC market share is high. By contrast, the restriction improves welfare when adverse selection risk is low. A simple procedure implements the optimal Pigouvian tax."
https://openalex.org/W4411846392,https://doi.org/10.1111/jofi.v80.4,,2025-07-01,,0,
https://openalex.org/W4411846409,https://doi.org/10.1111/jofi.13458,ANNOUNCEMENTS,2025-07-01,,0,
https://openalex.org/W4411846427,https://doi.org/10.1111/jofi.13457,ISSUE INFORMATION,2025-07-01,Antoinette Schoar; Leonid Kogan; Jonathan Lewellen; Thomas Philippon; Adi Sunderam; Manuel Adelino; Kenneth Ahern; Kerry Back; Alon Brav; Mikhail Chernov; James Choi; Anna Cieslak; Vicente Cuat; Gregory Duffee; Thierry Foucault; Carola Frydman; Mariassunta Giannetti; Vincent Glode; Francisco Gomes; Brett Green; Samuel Hartzmark; Terry Hendershott; Victoria Ivashina; Dirk Jenter; Christopher Jones; Jonathan Karpoff; Benjamin Keys; Lars-Alexander Kuehn; Dong Lou; Igor Makarov; Semyon Malamud; Alan Moreira; Tyler Muir; David Musto; Taylor Nadauld; Christian Opp; Jun Pan; Stavros Panageas; Giorgia Piacentino; Joshua Rauh; David Robinson; Alexi Savov; Lukas Schmid; Kelly Shue; David Sraer; Margarita Tsoutsoura; Jules Van Binsbergen; Andrea Vedolin; Adrien Verdelhan; Kathleen Hanley; ; ; ; ; ; ; ; ; ; ; ; ; ,0,
https://openalex.org/W4411846428,https://doi.org/10.1111/jofi.13468,AMERICAN FINANCE ASSOCIATION,2025-07-01,Weiss Kathleen; Hanley,0,
https://openalex.org/W4411966729,https://doi.org/10.1111/jofi.13466,Does Saving Cause Borrowing? Implications for the Coholding Puzzle,2025-07-02,Paolina C. Medina; Michaela Pagel,2,"ABSTRACT Using an experiment in which 3.1 million bank customers were encouraged to save, we explore the mechanisms behind coholding liquid savings and credit card debt. Theoretically, we show that the joint responses of spending, saving, and borrowing to the nudge differ across economic models of coholding. Using machine learning techniques, we find that the most responsive individuals reduce spending and increase savings by 4.9% (206 USD PPP per month) while their credit card debt remains unchanged. These individuals' marginal responses to the nudge are consistent with our model of coholding for the purpose of self‐ or partner‐control."
